time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-06-14 09:30:00-04:00,MLTrader,982d6f910d034b87a4f58e1723bfc13a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MLTrader,982d6f910d034b87a4f58e1723bfc13a,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,481.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,5bc0cfec37e842cfb7e5f2bf63589310,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,8d389eeeee06424b9b217190a0cb39c0,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,3c54a88cb157403ebc65f90f1d3f2eb4,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,bc011092b8b54732b6d6eda4e72b5be4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,3c54a88cb157403ebc65f90f1d3f2eb4,SPY,sell,market,fill,1,day,0.0,1,stock,544.3300170898438,481.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,bc011092b8b54732b6d6eda4e72b5be4,SPY,sell,market,fill,1,gtc,0.0,1,stock,544.3300170898438,240.0,0.0
2024-06-27 09:30:00-04:00,MLTrader,1272d79bbc7b47f0869faa429640a78a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-27 09:30:00-04:00,MLTrader,1272d79bbc7b47f0869faa429640a78a,SPY,sell,market,fill,1,gtc,0.0,1,stock,545.3699951171875,599.0,0.0
2024-09-19 09:30:00-04:00,MLTrader,b4afa9a5c18a4648a197c2861d0e60df,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
